'MISC_ID','Brand','Type','Product','Weight','WeightUnits'
5000,'Sennheiser','Specialty Brand','Sennheiser HD800 Headphones',.78,'lb'
5001,'Audio Technica','Specialty Brand','Audio Technica ATH-W5000 Dynamic Headphones',.61,'lb'
5002,'Denon','Specialty Brand','Denon AH-D5000 Over-Ear Headphones',.95,'lb'
5003,'Grado','Specialty Brand','Grado RS1i Reference Series Headphones',.77,'lb'
5004,'Sennheiser','Specialty Brand','Sennheiser HD650 Stereo Headphone',1.85,'lb'
5005,'Pioneer','Major Brand','Pioneer HDJ1000 Pro DJ Quality Stereo Headphones',.60,'lb'
5006,'Sennheiser','Specialty Brand','Sennheiser SET830-S InfraRed Stereo TV Listening System',1.46,'lb'
5007,'Sony','Major Brand','Sony MDR-V900HD Pro Style Headphones',.47,'lb'
5008,'Logitech','Specialty Brand','Logitech Harmony 1100 Universal Remote Control',4.58,'lb'
5009,'Logitech','Specialty Brand','Logitech 915000030 Harmony 900 Universal Remote',3.72,'lb'
5010,'Niles Audio','Specialty Brand','Niles Audio FG01586 Remote Control Anywhere! Kit for Home Theater Application',4.53,'lb'
5011,'Niles Audio','Specialty Brand','Niles Audio FG01584 Remote Control Anywhere! Kit with Tabletop Sensor',.00,'lb'
5012,'Sony','Major Brand','Cycle Energy Quick with Refresh Charger',1.00,'lb'
5013,'Samsung','Major Brand','Samsung OEM 2.0 Amp Travel Charger',.50,'lb'
7001,'JVC','Major Brand','JVC SR-DVM700 3-in-1 Professional Series Video Recorder',2.52,'lb'
7002,'BOSE','Specialty Brand','BOSE V-S2 Lifestyle Video Enhancer',2.73,'lb'
7003,'Thomson Grass Valley','Specialty Brand','Thomson Grass Valley ADVC110 Advanced Digital Video Converter',2.65,'lb'
7004,'Thomson Grass Valley','Specialty Brand','Thomson Grass Valley ADVC55 High Quality Analog To Digital Video Converter',2.14,'lb'
7005,'BOSE','Specialty Brand','BOSE V-S2 Lifestyle Video Enhancer Plus',2.05,'lb'
7006,'Thomson Grass Valley','Specialty Brand','Thomson Grass Valley SFX-11 Video Effects Mixer',2.85,'lb'
